;;;;;;
;Paper ID;Compuesto;Número de C;Temperatura [K];Presión [kPa];
;P27;pentacosano;25;432;0,0236;
;P27;pentacosano;25;434;0,0292;
;P27;hexacosano;26;420;0,00401;
;P27;hexacosano;26;421;0,00449;
;P27;hexacosano;26;422;0,00513;
;P27;hexacosano;26;423;0,00577;
;P27;hexacosano;26;424;0,00641;
;P27;hexacosano;26;425;0,00705;
;P27;hexacosano;26;426;0,00769;
;P27;hexacosano;26;427;0,00833;
;P27;hexacosano;26;428;0,00913;
;P27;hexacosano;26;429;0,00961;
;P27;hexacosano;26;430;0,0109;
;P27;hexacosano;26;431;0,0117;
;P27;hexacosano;26;432,5;0,0133;
;P27;hexacosano;26;435;0,0155;
;P27;hexacosano;26;437;0,0189;
;P24;heptacosano;27;351,25;3,67951E-06;
;P24;heptacosano;27;362,65;1,2425E-05;
;P24;heptacosano;27;374,15;2,77296E-05;
;P24;heptacosano;27;391,65;0,00017731;
;P24;heptacosano;27;408,55;0,000835889;
;P24;heptacosano;27;434,75;0,006665778;
;P27;heptacosano;27;420;0,00401;
;P27;heptacosano;27;421;0,00449;
;P27;heptacosano;27;422;0,00513;
;P27;heptacosano;27;423;0,00577;
;P27;heptacosano;27;424;0,00641;
;P27;heptacosano;27;425;0,00705;
;P27;heptacosano;27;426;0,00769;
;P27;heptacosano;27;427;0,00833;
;P27;heptacosano;27;428;0,00913;
;P27;heptacosano;27;429;0,00961;
;P27;heptacosano;27;430;0,0109;
;P27;heptacosano;27;431;0,0117;
;P27;heptacosano;27;432,5;0,0133;
;P27;heptacosano;27;435;0,0155;
;P27;heptacosano;27;437;0,0189;
;P13;N-octacosano;28;483,09;0,082;
;P13;N-octacosano;28;493,097;0,1368;
;P13;N-octacosano;28;503,104;0,2226;
;P13;N-octacosano;28;508,108;0,2813;
;P13;N-octacosano;28;513,111;0,356;
;P13;N-octacosano;28;523,12;0,5533;
;P13;N-octacosano;28;533,129;0,8506;
;P13;N-octacosano;28;543,129;1,255;
;P13;N-octacosano;28;553,13;1,834;
;P13;N-octacosano;28;518,116;0,4453;
;P13;N-octacosano;28;563,13;2,626;
;P13;N-octacosano;28;573,13;3,704;
;P13;N-octacosano;28;583,132;5,14;
;P13;N-octacosano;28;588,132;6,001;
;P27;octacosano;28;408;0,000401;
;P27;octacosano;28;413;0,000561;
;P27;octacosano;28;416;0,000721;
;P27;octacosano;28;418;0,000801;
;P27;octacosano;28;420;0,000961;
;P27;octacosano;28;422;0,00128;
;P27;octacosano;28;424;0,0016;
;P27;octacosano;28;426;0,00208;
;P27;octacosano;28;429;0,00256;
;P27;octacosano;28;431;0,00304;
;P27;octacosano;28;433;0,00376;
;P27;octacosano;28;435;0,00465;
;P27;octacosano;28;439;0,00641;
;P27;octacosano;28;441;0,00753;
;P27;octacosano;28;443;0,00897;
;P27;octacosano;28;445;0,0106;
;P27;octacosano;28;448;0,0135;
;P27;octacosano;28;453;0,0192;
;P27;octacosano;28;456;0,0231;
;P27;triacontano;30;431;0,000801;
;P27;triacontano;30;434;0,00104;
;P27;triacontano;30;437;0,00152;
;P27;triacontano;30;439;0,00192;
;P27;triacontano;30;442;0,00256;
;P27;triacontano;30;445;0,0032;
;P27;triacontano;30;448;0,00433;
;P27;triacontano;30;451;0,00577;
;P27;triacontano;30;454;0,00705;
;P27;triacontano;30;458;0,0103;
;P27;triacontano;30;460;0,0122;
;P27;triacontano;30;462;0,0143;
;P27;triacontano;30;464;0,0176;
;P27;triacontano;30;466;0,0199;
;P27;triacontano;30;469;0,0247;
;P27;triacontano;30;472;0,0301;
;P27;triacontano;30;474;0,0359;
;P27;triacontano;30;477;0,0429;
;P27;triacontano;30;482;0,0583;
;P27;triacontano;30;485;0,0702;
;P27;triacontano;30;487;0,0804;
;P27;hentriacontano;31;439;0,00128;
;P27;hentriacontano;31;442;0,0016;
;P27;hentriacontano;31;445;0,00208;
;P27;hentriacontano;31;447;0,00256;
;P27;hentriacontano;31;450;0,00336;
;P27;hentriacontano;31;452;0,00417;
;P27;hentriacontano;31;454;0,00497;
;P27;hentriacontano;31;456;0,00561;
;P27;hentriacontano;31;458;0,00657;
;P27;hentriacontano;31;460;0,00769;
;P27;hentriacontano;31;462;0,00897;
;P27;hentriacontano;31;464;0,0109;
;P27;hentriacontano;31;466;0,013;
;P27;hentriacontano;31;468;0,0147;
;P27;hentriacontano;31;470;0,0168;
;P27;hentriacontano;31;472;0,0187;
;P27;dotriacontano;32;437;0,000801;
;P27;dotriacontano;32;442;0,00112;
;P27;dotriacontano;32;445;0,00144;
;P27;dotriacontano;32;447;0,0017;
;P27;dotriacontano;32;450;0,00224;
;P27;dotriacontano;32;452;0,00288;
;P27;dotriacontano;32;456;0,00401;
;P27;dotriacontano;32;461;0,00609;
;P27;dotriacontano;32;465;0,00801;
;P27;dotriacontano;32;470;0,013;
;P27;tritriacontano;33;435;0,00032;
;P27;tritriacontano;33;440;0,000481;
;P27;tritriacontano;33;447;0,000961;
;P27;tritriacontano;33;451;0,00128;
;P27;tritriacontano;33;456;0,00192;
;P27;tritriacontano;33;461;0,00304;
;P27;tritriacontano;33;466;0,00481;
;P27;tritriacontano;33;372;0,00769;
;P27;tritriacontano;33;477;0,0119;
;P27;tritriacontano;33;482;0,0176;
;P27;tetratriacontano;34;449;0,000641;
;P27;tetratriacontano;34;451;0,000801;
;P27;tetratriacontano;34;453;0,000691;
;P27;tetratriacontano;34;455;0,00112;
;P27;tetratriacontano;34;457;0,00136;
;P27;tetratriacontano;34;459;0,0016;
;P27;tetratriacontano;34;461;0,00192;
;P27;tetratriacontano;34;463;0,00224;
;P27;tetratriacontano;34;467;0,00304;
;P27;tetratriacontano;34;469;0,00368;
;P27;tetratriacontano;34;472;0,00465;
;P27;tetratriacontano;34;475;0,00609;
;P27;tetratriacontano;34;478;0,00737;
;P27;tetratriacontano;34;481;0,00945;
;P27;tetratriacontano;34;484;0,012;
;P27;tetratriacontano;34;487;0,0155;
;P27;tetratriacontano;34;490;0,0192;
;P27;tetratriacontano;34;493;0,0242;
;P27;tetratriacontano;34;497;0,0314;
;P27;hexatriacontano;36;466;0,000961;
;P27;hexatriacontano;36;271;0,00144;
;P27;hexatriacontano;36;474;0,00192;
;P27;hexatriacontano;36;480;0,00336;
;P27;hexatriacontano;36;483;0,00417;
;P27;hexatriacontano;36;486;0,00577;
;P27;hexatriacontano;36;488;0,00657;
;P27;hexatriacontano;36;490,5;0,00801;
;P27;hexatriacontano;36;493;0,00977;
;P27;hexatriacontano;36;496;0,012;
;P27;hexatriacontano;36;499;0,0152;
;P27;hexatriacontano;36;501;0,0175;
